ID,ADDRESS,LATITUDE,LONGITUDE,geometry
10,Crystal Dr & 27th St S,38.848466,-77.051514,"c(-77.0515162964584, 38.8484737761189)"
11,S Glebe Rd & Potomac Ave,38.8426,-77.0502,"c(-77.0502022956446, 38.8426077747419)"
12,Crystal Dr & 23rd St S,38.8533,-77.0498,"c(-77.0498022959608, 38.8533077769744)"
13,Clark St & 26th St S,38.850688,-77.05152,"c(-77.0515222964889, 38.8506957760346)"
14,19th St & Pennsylvania Ave NW,38.9003,-77.0429,"c(-77.0429022968054, 38.9003077863626)"
15,14th & V St NW,38.917931,-77.032112,"c(-77.0321142946949, 38.9179387906271)"
16,11th & Kenyon St NW,38.929464,-77.027822,"c(-77.0278242939666, 38.9294717931676)"
17,16th & Harvard St NW,38.926088,-77.036536,"c(-77.0365382962529, 38.9260957919562)"
18,Adams Mill & Columbia Rd NW,38.922925,-77.042581,"c(-77.0425832979684, 38.9229327910592)"
19,14th & Harvard St NW,38.9268,-77.0322,"c(-77.0322022950548, 38.9268077925001)"
20,Calvert & Biltmore St NW,38.923203,-77.047637,"c(-77.0476392995517, 38.9232107909125)"
21,Lamont & Mt Pleasant NW,38.9319,-77.0388,"c(-77.0388022974355, 38.9319077933232)"
22,4th & M St SW,38.8767,-77.0178,"c(-77.0178022878265, 38.8767077828526)"
23,15th & P St NW,38.90985,-77.034438,"c(-77.0344402945407, 38.9098577889864)"
24,14th & R St NW,38.912681,-77.032523,"c(-77.0325252942802, 38.9126887894167)"
25,14th & Rhode Island Ave NW,38.9086,-77.0323,"c(-77.0323022942638, 38.908607788469)"
26,20th & E St NW,38.8963,-77.045,"c(-77.0450022976647, 38.8963077859284)"
27,21st & I St NW,38.900711,-77.046449,"c(-77.0464512980226, 38.900718786774)"
28,Georgia & New Hampshire Ave NW,38.936043,-77.024649,"c(-77.0246512937707, 38.9360507947604)"
29,14th St & Spring Rd NW,38.9375,-77.0328,"c(-77.0328022960406, 38.9375077946831)"
30,John McCormack Dr & Michigan Ave NE,38.9346,-76.9955,"c(-76.9955022841888, 38.9346077951007)"
31,5th & K St NW,38.90304,-77.019027,"c(-77.019029289904, 38.903047788063)"
32,19th & East Capitol St SE,38.8896,-76.9769,"c(-76.9769022758638, 38.8896077869675)"
33,Park Rd & Holmead Pl NW,38.9308,-77.0315,"c(-77.0315022948809, 38.9308077931582)"
34,Good Hope & Naylor Rd SE,38.860227,-76.966572,"c(-76.9665742707637, 38.8602347815447)"
35,Connecticut Ave & Newark St NW / Cleveland Park,38.934267,-77.057979,"c(-77.057981303652, 38.934274792634)"
36,Randle Circle & Minnesota Ave SE,38.878,-76.9607,"c(-76.960702270143, 38.8780077854382)"
37,Minnesota Ave Metro/DOES,38.897063,-76.947446,"c(-76.9474482670777, 38.897070789709)"
182,GMU / Fairfax Dr & Kenmore St,38.884616,-77.10108,"c(-77.1010823144161, 38.8846237813531)"
183,Gallaudet / 8th St & Florida Ave NE,38.90509,-76.9941,"c(-76.9941022816752, 38.9050977892551)"
185,20th & L St NW,38.903584,-77.044789,"c(-77.0447912979683, 38.9035917871223)"
186,12th & L St NW,38.903819,-77.0284,"c(-77.0284022924132, 38.9038267879968)"
187,21st St & Pennsylvania Ave NW,38.901539,-77.046564,"c(-77.0465662981337, 38.9015467865923)"
188,19th & K St NW,38.902204,-77.04337,"c(-77.0433722974854, 38.9022117868409)"
189,Prince St & Union St,38.803124,-77.040363,"c(-77.0403652901142, 38.8031317671507)"
